PosiciÃ³n,PaÃ­s,Valor,AÃ±o
1,Sudáfrica,63.00,2014
2,Namibia,59.10,2015
3,Suriname,57.60,1999
4,Zambia,57.10,2015
5,República Centroafricana,56.20,2008
6,Lesotho,54.20,2010
7,Mozambique,54.00,2014
8,Botswana,53.30,2015
8,Belice,53.30,1999
8,Brasil,53.30,2017
11,Swazilandia,51.50,2009
12,Santa Lucía,51.20,2016
13,Guinea-Bissau,50.70,2010
14,Honduras,50.50,2017
15,Panamá,49.90,2017
16,Colombia,49.70,2017
17,"Congo, República del",48.90,2011
18,Paraguay,48.80,2017
19,México,48.30,2016
19,Costa Rica,48.30,2017
19,Guatemala,48.30,2014
22,Benin,47.80,2015
23,Cabo Verde,47.20,2007
24,Venezuela,46.90,2006
25,Seychelles,46.80,2013
26,Camerún,46.60,2014
26,Chile,46.60,2017
28,Nicaragua,46.20,2014
29,República Dominicana,45.70,2016
30,Jamaica,45.50,2004
31,Comoras,45.30,2013
32,Ecuador,44.70,2017
32,Malawi,44.70,2016
34,Guyana,44.60,1998
35,Filipinas,44.40,2015
36,Bolivia,44.00,2017
37,Rwanda,43.70,2016
38,Ghana,43.50,2016
39,Perú,43.30,2017
39,Chad,43.30,2011
41,Zimbabwe,43.20,2011
42,Togo,43.10,2015
43,Nigeria,43.00,2009
44,Uganda,42.80,2016
45,Angola,42.70,2008
46,Madagascar,42.60,2012
47,Turquía,41.90,2016
47,Papua Nueva Guinea,41.90,2009
49,Djibouti,41.60,2017
50,Côte d'Ivoire,41.50,2015
50,Estados Unidos,41.50,2016
52,Argentina,41.20,2017
53,Haití,41.10,2012
54,Malasia,41.00,2015
55,Kenya,40.80,2015
55,Turkmenistán,40.80,1998
57,Trinidad y Tobago,40.30,1992
57,Senegal,40.30,2011
59,"Irán, República Islámica del",40.00,2016
60,Sri Lanka,39.80,2016
61,Serbia,39.60,2015
62,Marruecos,39.50,2013
62,Uruguay,39.50,2017
64,Tuvalu,39.10,2010
65,Israel,38.90,2016
66,Samoa,38.70,2013
67,Burundi,38.60,2013
67,China,38.60,2015
69,Mauricio,38.50,2012
70,Myanmar,38.10,2015
70,Indonesia,38.10,2017
72,Gabón,38.00,2017
72,El Salvador,38.00,2017
74,Georgia,37.90,2017
75,Tanzanía,37.80,2011
76,Federación de Rusia,37.70,2015
77,Tonga,37.60,2015
77,Vanuatu,37.60,2010
79,Lituania,37.40,2015
79,Bhután,37.40,2017
79,Bulgaria,37.40,2014
82,Islas Salomón,37.10,2013
83,Kiribati,37.00,2006
84,Fiji,36.70,2013
84,"Yemen, Rep. del",36.70,2014
86,Tailandia,36.50,2017
87,República Democrática Popular Lao,36.40,2012
88,España,36.20,2015
89,Grecia,36.00,2015
90,Gambia,35.90,2015
91,Australia,35.80,2014
91,República Árabe Siria,35.80,2004
93,India,35.70,2011
94,Ex República Yugoslava de Macedonia,35.60,2015
95,Portugal,35.50,2015
96,Sudán,35.40,2009
96,Italia,35.40,2015
98,Liberia,35.30,2016
98,Burkina Faso,35.30,2014
98,Uzbekistán,35.30,2003
98,Viet Nam,35.30,2016
102,Etiopía,35.00,2015
103,Níger,34.30,2014
104,Letonia,34.20,2015
105,Sierra Leona,34.00,2011
105,Tayikistán,34.00,2015
105,Canadá,34.00,2013
105,Chipre,34.00,2015
109,Luxemburgo,33.80,2015
110,Guinea,33.70,2012
110,Jordania,33.70,2010
112,Armenia,33.60,2017
113,Pakistán,33.50,2015
114,Reino Unido,33.20,2015
115,Bosnia y Herzegovina,33.00,2011
115,Malí,33.00,2009
117,Nepal,32.80,2010
117,Túnez,32.80,2015
119,Francia,32.70,2015
119,Estonia,32.70,2015
121,Mauritania,32.60,2014
122,Bangladesh,32.40,2016
123,Suiza,32.30,2015
123,Mongolia,32.30,2016
125,Japón,32.10,2008
126,Montenegro,31.90,2014
127,Líbano,31.80,2011
127,Polonia,31.80,2015
127,Irlanda,31.80,2015
127,"Egipto, República Árabe de",31.80,2015
131,Alemania,31.70,2015
132,"Corea, República de",31.60,2012
133,Croacia,31.10,2015
134,Santo Tomé y Príncipe,30.80,2010
135,Austria,30.50,2015
136,Hungría,30.40,2015
137,Iraq,29.50,2012
138,Malta,29.40,2015
139,Suecia,29.20,2015
140,Albania,29.00,2012
141,Dinamarca,28.20,2015
141,Países Bajos,28.20,2015
143,Islandia,27.80,2014
144,Bélgica,27.70,2015
145,Argelia,27.60,2011
146,Kazajstán,27.50,2017
146,Noruega,27.50,2015
148,Kirguistán,27.30,2017
149,Finlandia,27.10,2015
150,Azerbaiyán,26.60,2005
151,República Eslovaca,26.50,2015
152,República de Moldova,25.90,2017
152,República Checa,25.90,2015
154,Belarús,25.40,2017
154,Eslovenia,25.40,2015
156,Ucrania,25.00,2016
